0.031 829.65 821.1
0.063 739.3 785.35
0.125 705.5 754.1
0.250 711.65 808.5
0.500 613.6 772.95
1.000 528.3 774.3
2.000 451.65 789.95
4.000 360.7 786.95
8.000 279.3 759.3
16.000 247.45 769.8
32.000 232.6 749.1
64.000 234 768.55
128.000 294.8 801.85
256.000 368.1 809.65
512.000 367.5 787
1024.000 363 785.6
2048.000 350.65 763.7
4096.000 550.9 774.25
8192.000 516.3 773.75
16384.000 512.75 780.95
32768.000 702.85 761.7
65536.000 656.45 779.05
131072.000 655.6 767.1
262144.000 667.25 782.75
524288.000 806.95 758.6
